b1,b2,l4,C4
A3,L2,L6,B4
A2,L1,B6,B1
L2,L1,B0,b0
A4,C5,C4,a3
C5,B7,B0,b4
a4,b4,c1,c2
L4,L5,b1,c2
l0,B2,l4,c0
a0,l0,l2,a1
l3,B2,A7,C7
a2,C4,l1,b2
b1,A7,A1,b2
B7,l3,B5,a0
a3,b1,b4,b2
A0,B2,B1,C3
C6,c3,B7,B2
A2,L5,B4,b3
C1,L7,a1,l4
L5,C3,B4,l4
A4,L5,B6,b3
C4,A0,B7,b2
A2,a0,a2,c2
C2,A7,B2,l0
A0,C6,B7,L7
L4,C3,B0,B4
A5,B6,b0,b1
b1,l3,b0,B5
A7,A0,L1,b2
l2,l1,L6,c2
l2,c4,L0,C0
a0,C3,L3,L6
b1,c4,B5,L1
l4,C3,L2,C7
l1,B2,L5,A1
c3,c1,b0,L6
a1,C0,A7,A0
a0,b1,A2,A0
l2,B2,C7,A1
B3,l2,L2,L0
B5,a3,C4,L5
a2,a3,L0,A7
l2,a0,A2,A5
b3,B1,C5,L6
B1,l3,C0,A6
c4,B7,a1,L4
B6,c0,C1,A6
a4,b4,A6,A1
